app,message_type,frequency_category,confidence,weeks_with_data,occurrence_rate,avg_gap_days,regularity_score,avg_volume,std_volume,min_volume,max_volume,cv_volume,total_occurrences
APP_01,CUSTOM_005,daily,1.0,104,1.0,7.0,1.0,71173.63461538461,20494.27940119355,20955,215427,0.2879476299326659,104
APP_01,CUSTOM_010,daily,1.0,104,1.0,7.0,1.0,2448685.701923077,639898.362087922,276146,6141737,0.26132319128803566,104
APP_01,CUSTOM_014,daily,1.0,104,1.0,7.0,1.0,12275211.23076923,2241326.4451404503,5973840,25494087,0.1825896437140167,104
APP_01,CUSTOM_018,daily,1.0,104,1.0,7.0,1.0,10736106.346153846,2053277.5386622667,4064199,23420034,0.19124973919412067,104
APP_01,CUSTOM_019,daily,1.0,104,1.0,7.0,1.0,14532416.375,4133542.4682536903,2397640,43202676,0.28443600579492,104
APP_01,CUSTOM_025,insufficient_data,0.0,1,0.009615384615384616,0.0,0.0,1920.0,0.0,1920,1920,0.0,1
APP_01,CUSTOM_031,daily,1.0,104,1.0,7.0,1.0,9609721.14423077,2954697.943103616,2774486,26775804,0.30746968603532054,104
APP_01,CUSTOM_035,daily,0.8633859487430069,102,0.9807692307692307,7.138613861386139,0.8633859487430069,113692.64705882352,44591.65716145616,18161,405397,0.39221232256457933,102
APP_01,CUSTOM_037,irregular,0.9177196983888978,57,0.5480769230769231,12.875,0.08228030161110222,21246.947368421053,7168.1571034951385,4495,35197,0.33737350496519036,57
APP_01,CUSTOM_040,daily,1.0,104,1.0,7.0,1.0,9709759.682692308,1800310.9193175188,1366836,21383486,0.18541251052037688,104
APP_01,CUSTOM_042,daily,0.7906421490014774,99,0.9519230769230769,7.357142857142857,0.7906421490014774,89524.87878787878,33244.718300722576,13795,255472,0.37134614143955413,99
APP_01,CUSTOM_043,daily,1.0,104,1.0,7.0,1.0,2910927.9326923075,949949.1836542167,324625,7924877,0.3263389563806933,104
APP_01,CUSTOM_044,daily,1.0,104,1.0,7.0,1.0,9207300.14423077,1765377.3647962443,1877190,18714759,0.19173670208876784,104
APP_01,CUSTOM_046,irregular,0.7417156752605166,22,0.21153846153846154,33.666666666666664,0.2582843247394834,3876.0454545454545,1298.9604402007828,1498,6585,0.3351251824659297,22
APP_01,CUSTOM_052,daily,1.0,104,1.0,7.0,1.0,9446244.692307692,2884388.7312720213,2229319,28188765,0.3053476619783997,104
APP_01,MT106,irregular,0.896214260096323,50,0.4807692307692308,14.285714285714286,0.10378573990367701,32478.74,11183.148749453349,4194,77936,0.34432212424045233,50
APP_01,MT132,irregular,0.7103225082979483,13,0.125,50.75,0.2896774917020517,4147.923076923077,2884.1304638563734,1083,10503,0.6953191779042867,13
APP_01,MT144,daily,0.7731393894068365,98,0.9423076923076923,7.43298969072165,0.7731393894068365,151780.29591836734,53135.875274314756,57229,452337,0.3500841459875204,98
APP_01,MT157,irregular,0.7498558108224684,28,0.2692307692307692,26.444444444444443,0.25014418917753156,5281.392857142857,2370.612403386905,438,8896,0.4488612128485677,28
APP_01,MT242,daily,0.7110121152206366,96,0.9230769230769231,7.589473684210526,0.7110121152206366,175340.78125,57658.287037041766,40759,431264,0.3288355773596838,96
APP_01,MT267,daily,1.0,104,1.0,7.0,1.0,415248.32692307694,111423.153533435,58809,758017,0.26832896440321047,104
APP_01,MT303,daily,1.0,104,1.0,7.0,1.0,197039.47115384616,54583.717306353705,51182,410794,0.27701920324245777,104
APP_01,MT325,monthly,0.3364992568567813,29,0.27884615384615385,24.5,0.3364992568567813,9866.689655172413,3446.16587652331,3000,20621,0.349272754790329,29
APP_01,MT333,semi_annual,0.1983317245082759,51,0.49038461538461536,13.72,0.3966634490165518,48133.666666666664,17781.030285845187,3746,105844,0.36940942831099205,51
APP_01,MT338,irregular,0.8362367856550155,21,0.20192307692307693,34.3,0.16376321434498453,1437.3333333333333,845.2670659019035,160,4167,0.5880800551265563,21
APP_01,MT352,irregular,0.7614714649676665,29,0.27884615384615385,24.75,0.2385285350323335,6817.793103448276,4343.646786453714,1610,25911,0.63710451762709,29
APP_01,MT381,daily,0.7906421490014774,99,0.9519230769230769,7.357142857142857,0.7906421490014774,143175.0101010101,46104.53712450158,35351,340396,0.32201525316446483,99
